vertices,edges,method,n_runs,mean_time,std_error,confidence_lower,confidence_upper,margin_error,relative_error,is_narrow_enough,confidence_level
20,57,dsatur,20,0.00010026250965893269,1.6089728546354329e-06,9.748038190313536e-05,0.00010304463741473002,2.78212775579733e-06,0.027748435235278014,True,0.9
40,234,dsatur,20,0.0004471876018214971,1.1120348131538154e-05,0.00042795904299171414,0.00046641616065128,1.9228558829782944e-05,0.0429988639028914,True,0.9
60,531,dsatur,20,0.0011620707635302096,6.900071628191104e-06,0.0011501396232760567,0.0011740019037843625,1.1931140254152874e-05,0.010267137448590244,True,0.9
80,948,dsatur,20,0.002516487572574988,2.0944189610185498e-05,0.002480272287109291,0.0025527028580406845,3.6215285465696686e-05,0.014391203779575796,True,0.9
100,1485,dsatur,20,0.004425803996855393,2.2660496570892976e-05,0.004386620988709295,0.0044649870050014915,3.9183008146098305e-05,0.008853308500317339,True,0.9
120,2142,dsatur,20,0.007350412558298558,6.780343593662474e-05,0.007233171412486653,0.007467653704110463,0.00011724114581190478,0.015950281005593415,True,0.9
140,2919,dsatur,20,0.010963702056324109,3.372615723988068e-05,0.010905385051234102,0.011022019061414116,5.831700509000698e-05,0.005319097946151175,True,0.9
160,3816,dsatur,20,0.016139870719052853,8.935046594684564e-05,0.01598537189665944,0.016294369541446266,0.00015449882239341323,0.009572494419737197,True,0.9
180,4833,dsatur,20,0.0225816001475323,0.00011994363718895514,0.022374201668935664,0.022788998626128935,0.00020739847859663554,0.009184401337444631,True,0.9
200,5970,dsatur,15,0.030335097076992192,5.7478201966250914e-05,0.03023386013728292,0.030436334016701466,0.00010123693970927328,0.003337287480977173,True,0.9
250,9337,dsatur,15,0.05810919733873258,8.751878378816295e-05,0.0579550496177758,0.05826334505968936,0.0001541477209567807,0.002652725007681939,True,0.9
300,13455,dsatur,15,0.10338011118583382,0.00015686171613586234,0.10310382905528868,0.10365639331637895,0.00027628213054513295,0.002672488231788552,True,0.9
350,18322,dsatur,15,0.17067473887000234,0.0011182715773252344,0.16870511580631048,0.1726443619336942,0.001969623063691861,0.011540214308996611,True,0.9
400,23940,dsatur,15,0.2534460472098241,0.00040205111640378353,0.25273791050340255,0.25415418391624567,0.0007081367064215582,0.002794033342470331,True,0.9
450,30307,dsatur,15,0.36024838346832744,0.0011689097721004056,0.3581895708389207,0.36230719609773415,0.0020588126294067144,0.005714980896195257,True,0.9
500,37425,dsatur,15,0.504342733315813,0.0050029757815570255,0.4955309413627205,0.5131545252689056,0.008811791953092563,0.01747183288467196,True,0.9
550,45292,dsatur,15,0.6545585471360634,0.0010929108959385966,0.652633592097548,0.6564835021745788,0.001924955038515419,0.002940844706616103,True,0.9
600,53910,dsatur,10,0.8625407082727179,0.006281149334080151,0.8510266521964868,0.874054764348949,0.011514056076231127,0.013349000187235935,True,0.9
700,73395,dsatur,10,1.3919495247770102,0.0032475037729897084,1.3859964836119012,1.3979025659421191,0.005953041165108974,0.004276765111912121,True,0.9
800,95880,dsatur,10,2.118074866803363,0.004013067740526977,2.1107184604285876,2.125431273178138,0.007356406374775304,0.003473156917195154,True,0.9
900,121365,dsatur,10,3.020138995803427,0.02909078172042133,2.9668123076107187,3.0734656839961354,0.05332668819270836,0.017657031105789298,True,0.9
1000,149850,dsatur,10,3.9669445584062486,0.01027519389952595,3.948108967583504,3.9857801492289933,0.018835590822744663,0.004748135635732709,True,0.9
1100,181335,dsatur,10,5.504194616805762,0.04878531555676612,5.414765623935065,5.593623609676459,0.08942899287069661,0.016247425662901934,True,0.9
