vertices,edges,graph_type,optimal_colors,optimal_time,dsatur_colors,dsatur_time,dsatur_ratio,dsatur_error,dsatur_optimal,ldf_colors,ldf_time,ldf_ratio,ldf_error,ldf_optimal,hybrid_colors,hybrid_time,hybrid_ratio,hybrid_error,hybrid_optimal
3,3,complete,3,3.1948089599609375e-05,3,1.5020370483398438e-05,1.0,0.0,True,3,4.291534423828125e-06,1.0,0.0,True,3,1.621246337890625e-05,1.0,0.0,True
3,3,cycle,3,1.9788742065429688e-05,3,6.9141387939453125e-06,1.0,0.0,True,3,3.0994415283203125e-06,1.0,0.0,True,3,8.344650268554688e-06,1.0,0.0,True
3,2,path,2,6.198883056640625e-06,2,5.9604644775390625e-06,1.0,0.0,True,2,2.1457672119140625e-06,1.0,0.0,True,2,8.106231689453125e-06,1.0,0.0,True
3,0,random_0.2,1,2.1457672119140625e-06,1,5.9604644775390625e-06,1.0,0.0,True,1,9.5367431640625e-07,1.0,0.0,True,1,6.9141387939453125e-06,1.0,0.0,True
3,0,random_0.2,1,1.9073486328125e-06,1,5.0067901611328125e-06,1.0,0.0,True,1,1.1920928955078125e-06,1.0,0.0,True,1,5.9604644775390625e-06,1.0,0.0,True
3,0,random_0.2,1,2.1457672119140625e-06,1,4.76837158203125e-06,1.0,0.0,True,1,9.5367431640625e-07,1.0,0.0,True,1,6.198883056640625e-06,1.0,0.0,True
3,0,random_0.2,1,9.5367431640625e-07,1,4.0531158447265625e-06,1.0,0.0,True,1,9.5367431640625e-07,1.0,0.0,True,1,5.7220458984375e-06,1.0,0.0,True
3,0,random_0.2,1,2.1457672119140625e-06,1,4.0531158447265625e-06,1.0,0.0,True,1,9.5367431640625e-07,1.0,0.0,True,1,5.9604644775390625e-06,1.0,0.0,True
3,1,random_0.5,2,5.245208740234375e-06,2,4.76837158203125e-06,1.0,0.0,True,2,2.1457672119140625e-06,1.0,0.0,True,2,5.7220458984375e-06,1.0,0.0,True
3,1,random_0.5,2,4.0531158447265625e-06,2,4.0531158447265625e-06,1.0,0.0,True,2,9.5367431640625e-07,1.0,0.0,True,2,6.198883056640625e-06,1.0,0.0,True
3,1,random_0.5,2,5.0067901611328125e-06,2,0.0002789497375488281,1.0,0.0,True,2,1.9073486328125e-06,1.0,0.0,True,2,6.198883056640625e-06,1.0,0.0,True
3,1,random_0.5,2,6.9141387939453125e-06,2,4.0531158447265625e-06,1.0,0.0,True,2,9.5367431640625e-07,1.0,0.0,True,2,6.198883056640625e-06,1.0,0.0,True
3,1,random_0.5,2,4.0531158447265625e-06,2,4.0531158447265625e-06,1.0,0.0,True,2,7.152557373046875e-07,1.0,0.0,True,2,6.198883056640625e-06,1.0,0.0,True
3,2,random_0.8,2,5.0067901611328125e-06,2,5.0067901611328125e-06,1.0,0.0,True,2,1.1920928955078125e-06,1.0,0.0,True,2,7.152557373046875e-06,1.0,0.0,True
3,2,random_0.8,2,5.9604644775390625e-06,2,5.245208740234375e-06,1.0,0.0,True,2,1.6689300537109375e-06,1.0,0.0,True,2,7.152557373046875e-06,1.0,0.0,True
3,2,random_0.8,2,4.76837158203125e-06,2,4.0531158447265625e-06,1.0,0.0,True,2,2.1457672119140625e-06,1.0,0.0,True,2,5.9604644775390625e-06,1.0,0.0,True
3,2,random_0.8,2,3.814697265625e-06,2,4.291534423828125e-06,1.0,0.0,True,2,1.9073486328125e-06,1.0,0.0,True,2,5.9604644775390625e-06,1.0,0.0,True
3,2,random_0.8,2,4.0531158447265625e-06,2,4.291534423828125e-06,1.0,0.0,True,2,1.9073486328125e-06,1.0,0.0,True,2,6.9141387939453125e-06,1.0,0.0,True
